#{"t_start": 1724071915.097326, "env_id": "None"}
r,l,t,arousal,satiety,social-touch
3141.2478,500,74.498498,pursuer_0_0.3587843612288699,pursuer_0_1.4845670478428596,pursuer_0_0
2175.6455,500,74.498572,pursuer_1_0.45201135523444536,pursuer_1_1.2333869982072323,pursuer_1_0
-152.39455,500,74.498606,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
-259.9495,500,74.498633,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
2861.6702,500,74.498657,pursuer_0_0.3777724137498023,pursuer_0_1.4052883851402083,pursuer_0_0
2652.312,500,74.49868,pursuer_1_0.39289133279194094,pursuer_1_1.1083934725430546,pursuer_1_0
860.16705,500,74.498704,pursuer_0_0.6322033342906671,pursuer_0_1.494556003405477,pursuer_0_0
2590.0442,500,74.498727,pursuer_1_0.4087492672257674,pursuer_1_1.3888068532930542,pursuer_1_0
1440.6631,500,74.49875,pursuer_0_0.5566203087536845,pursuer_0_1.4279086335849065,pursuer_0_0
821.14954,500,74.498773,pursuer_1_0.6207658314286063,pursuer_1_1.426053574095668,pursuer_1_0
1909.8832,500,74.498795,pursuer_0_0.39865407616577325,pursuer_0_1.2954370902835757,pursuer_0_0
2959.7866,500,74.498818,pursuer_1_0.3656104237329328,pursuer_1_1.4927088011325462,pursuer_1_0
1110.9515,500,74.498841,pursuer_0_0.6182415667218525,pursuer_0_1.3077070780173858,pursuer_0_0
555.8994,500,74.498864,pursuer_1_0.6480790141900301,pursuer_1_1.3802348876547754,pursuer_1_0
1739.4136,500,74.498886,pursuer_0_0.5196352163344155,pursuer_0_1.3977183927403412,pursuer_0_0
1799.8887,500,74.498909,pursuer_1_0.49163350686918894,pursuer_1_1.17326397425153,pursuer_1_0
1379.2571,500,151.334559,pursuer_0_0.5558371916487828,pursuer_0_1.263760636004592,pursuer_0_0
1553.6427,500,151.335355,pursuer_1_0.5317654069673938,pursuer_1_1.4651534742631735,pursuer_1_0
2617.2703,500,151.33541,pursuer_0_0.41958708526623706,pursuer_0_1.4905239839458695,pursuer_0_0
2103.5017,500,151.335448,pursuer_1_0.4585209793663732,pursuer_1_1.1066446243899513,pursuer_1_0
-143.49643,500,151.335481,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2421.9087,500,151.335513,pursuer_1_0.42105995363964605,pursuer_1_1.037431627217213,pursuer_1_0
