#{"t_start": 1724151161.8511932, "env_id": "None"}
r,l,t,arousal,satiety,social-touch
2181.2134,500,148.007042,pursuer_0_0.46628571707539884,pursuer_0_1.3942982108697346,pursuer_0_0
2930.2239,500,148.007425,pursuer_1_0.3649322650908447,pursuer_1_1.3838385655236038,pursuer_1_0
2578.0376,500,148.007488,pursuer_0_0.4196415270629353,pursuer_0_1.4990533500930692,pursuer_0_0
-104.43427,500,148.007525,pursuer_1_0.7403659885777341,pursuer_1_1.490710120331967,pursuer_1_0
2517.2612,500,148.007559,pursuer_0_0.4295986471891822,pursuer_0_1.4761032168972867,pursuer_0_0
2706.4597,500,148.00759,pursuer_1_0.3863522950854502,pursuer_1_1.3412805050812246,pursuer_1_0
2848.206,500,148.007621,pursuer_0_0.3850688592159611,pursuer_0_1.2024561612312774,pursuer_0_0
2215.6028,500,148.007651,pursuer_1_0.44599742872285086,pursuer_1_1.4310386369676693,pursuer_1_0
3025.4177,500,148.007681,pursuer_0_0.3638664997276799,pursuer_0_1.3466083830165023,pursuer_0_0
-271.85214,500,148.007712,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
1254.7817,500,148.007742,pursuer_0_0.5755697074987397,pursuer_0_1.4810559988712888,pursuer_0_0
2576.722,500,148.007772,pursuer_1_0.40419941299362755,pursuer_1_1.490626567128304,pursuer_1_0
-161.6432,500,148.007801,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
2729.001,500,148.007828,pursuer_1_0.385755603950334,pursuer_1_1.3460941934287864,pursuer_1_0
2785.0144,500,148.007856,pursuer_0_0.39003978659794925,pursuer_0_1.2138423021876907,pursuer_0_0
2266.1035,500,148.007886,pursuer_1_0.4347941742629228,pursuer_1_1.0738241998834757,pursuer_1_0
2135.4136,500,284.460138,pursuer_0_0.47052744384892486,pursuer_0_1.400987474992874,pursuer_0_0
1471.2944,500,284.461067,pursuer_1_0.5326787180682513,pursuer_1_1.2315989913296261,pursuer_1_0
1690.247,500,284.461147,pursuer_0_0.5186930441384138,pursuer_0_1.2059302567557366,pursuer_0_0
1506.5032,500,284.461198,pursuer_1_0.5309897032760202,pursuer_1_1.2224625599675738,pursuer_1_0
2816.004,500,284.461243,pursuer_0_0.39327895366865084,pursuer_0_1.4222087077411083,pursuer_0_0
716.1644,500,284.461285,pursuer_1_0.6392207316144068,pursuer_1_1.3875368510736448,pursuer_1_0
2500.9824,500,284.461328,pursuer_0_0.4273050924760114,pursuer_0_1.355232327904707,pursuer_0_0
1656.3727,500,284.46137,pursuer_1_0.5106782042409403,pursuer_1_1.281881255388746,pursuer_1_0
2569.6626,500,284.461411,pursuer_0_0.41609875959821574,pursuer_0_1.0265957709213656,pursuer_0_0
-247.06378,500,284.461452,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
-152.18468,500,284.46149,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
1679.3741,500,284.461527,pursuer_1_0.5120076730185521,pursuer_1_1.2164946078464267,pursuer_1_0
1972.1924,500,284.461566,pursuer_0_0.48991197995034574,pursuer_0_1.415858174042251,pursuer_0_0
2555.19,500,284.461604,pursuer_1_0.40894784746244267,pursuer_1_1.2468652605914803,pursuer_1_0
2030.4628,500,284.461642,pursuer_0_0.484825891802337,pursuer_0_1.1919635550959247,pursuer_0_0
1743.7358,500,284.461679,pursuer_1_0.5033055180562085,pursuer_1_1.1800376069153584,pursuer_1_0
-150.90738,500,389.133421,pursuer_0_0.7533365534153682,pursuer_0_0,pursuer_0_0
-253.53487,500,389.134269,pursuer_1_0.7533365534153682,pursuer_1_0,pursuer_1_0
